,last_scraped,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,property_type,room_type,bathrooms_text,price,has_availability,calendar_last_scraped,first_review,last_review,instant_bookable,host_listings_count,host_total_listings_count,latitude,longitude,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms
47,2024-12-30,2013-04-04,within a day,60%,35%,f,t,t,Entire rental unit,Entire home/apt,1 bath,$800.00,t,2024-12-30,2013-05-13,2024-08-26,f,1.0,1.0,59.29782,18.08865,2.0,1.0,1.0,1.0,4.0,30.0,4.0,4.0,30,30.0,0,28,51,299,9.3,6.0,0.0,4.77,4.87,4.64,4.9,4.89,4.65,4.73,1.0,1.0,0.0,0.0
48,2024-12-30,2013-04-07,within an hour,100%,100%,t,t,t,Entire rental unit,Entire home/apt,1 bath,$921.00,t,2024-12-30,2015-02-08,2024-12-09,f,2.0,3.0,59.27347,17.958,6.0,1.0,2.0,5.0,2.0,120.0,2.0,2.0,1125,1125.0,29,59,89,353,9.3,2.7,0.0,4.83,4.89,4.86,4.97,4.98,4.72,4.72,1.0,1.0,0.0,0.0
49,2024-12-30,2013-04-21,within a day,50%,50%,f,t,t,Entire rental unit,Entire home/apt,1 bath,"$1,000.00",t,2024-12-30,2013-05-07,2024-08-21,f,1.0,1.0,59.28454,18.0866,3.0,1.0,1.0,2.0,4.0,30.0,4.0,4.0,30,30.0,0,0,0,78,9.3,9.0,0.0,4.86,4.92,4.88,4.85,4.79,4.92,4.88,1.0,1.0,0.0,0.0
50,2024-12-30,2013-04-28,,,67%,f,t,t,Entire loft,Entire home/apt,1 bath,"$2,300.00",t,2024-12-30,2017-09-06,2024-08-02,f,1.0,1.0,59.31793,18.03252,3.0,1.0,2.0,1.0,5.0,55.0,5.0,5.0,55,55.0,5,5,5,5,17.0,4.0,0.0,4.94,4.88,4.65,4.88,4.94,4.88,4.88,1.0,1.0,0.0,0.0
51,2024-12-30,2013-05-01,within an hour,100%,75%,f,t,t,Entire rental unit,Entire home/apt,1.5 baths,"$1,800.00",t,2024-12-30,2013-06-13,2024-05-19,f,1.0,1.0,59.32769,18.0365,3.0,1.5,1.0,1.0,2.0,20.0,3.0,4.0,20,20.0,23,53,83,168,33.0,1.0,0.0,4.85,4.91,4.91,4.87,4.97,4.94,4.68,1.0,1.0,0.0,0.0
52,2024-12-30,2013-05-10,within an hour,100%,100%,t,t,t,Entire rental unit,Entire home/apt,1.5 baths,"$3,300.00",t,2024-12-30,2013-06-17,2024-11-02,f,1.0,1.0,59.34453,18.08507,5.0,1.5,3.0,5.0,6.0,184.9,6.0,6.0,1125,1125.0,25,55,85,343,9.3,12.0,0.0,4.87,4.85,4.66,4.98,4.97,4.89,4.71,1.0,1.0,0.0,0.0
53,2024-12-30,2012-03-31,within an hour,100%,100%,t,t,t,Entire home,Entire home/apt,1.5 baths,"$3,683.00",t,2024-12-30,2014-04-22,2024-08-31,f,1.0,1.0,59.2932,17.95069,3.2,1.5,1.4,6.0,3.0,184.9,3.0,3.0,1125,1125.0,25,55,85,341,9.3,9.0,0.0,4.97,4.97,4.94,4.99,4.97,4.67,4.89,1.0,1.0,0.0,0.0
54,2024-12-30,2013-05-14,,,75%,f,t,t,Entire rental unit,Entire home/apt,1.5 baths,$850.00,t,2024-12-30,2013-10-25,2024-04-17,f,1.0,2.0,59.34858,18.05753,1.0,1.5,1.0,2.0,7.0,30.0,1.0,6.0,30,30.0,17,30,30,30,18.0,1.0,0.0,4.78,4.76,4.82,4.78,4.78,4.78,4.67,1.0,1.0,0.0,0.0
55,2024-12-30,2013-01-09,,,,f,t,f,Private room in rental unit,Private room,1 shared bath,,,2024-12-30,2013-06-15,2022-10-03,f,1.0,1.0,59.26466,18.12983,1.0,1.2,1.4,2.0,1.0,3.0,1.0,1.0,3,3.0,0,0,0,0,9.3,0.0,0.0,4.81,4.96,5.0,4.96,4.89,4.67,4.75,1.0,1.0,0.0,0.0
56,2024-12-30,2013-05-15,within a day,100%,44%,f,t,t,Entire home,Entire home/apt,2 baths,"$1,800.00",t,2024-12-30,2013-07-28,2024-07-28,f,3.0,3.0,59.28332,18.04978,6.0,2.0,1.4,4.0,3.0,184.9,3.0,3.0,1125,1125.0,26,56,86,352,13.0,5.0,0.0,5.0,5.0,4.69,4.85,4.92,4.85,4.85,2.0,1.0,0.0,0.0
